u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
2,93,8.0,508.9015869776647,508.9015869776647,211.74749113035554,2.4033417551302922
2,94,inf,inf,inf,216.390850083824,inf
2,95,9.0,597.4995667241113,597.4995667241113,219.0821763631172,2.727285152279057
2,96,inf,inf,inf,289.471933009057,inf
2,97,inf,inf,inf,509.0628644872851,inf
2,98,inf,inf,inf,325.84965858505973,inf
2,99,inf,inf,inf,504.52452864058057,inf
2,100,inf,inf,inf,474.03058973024093,inf
2,101,inf,inf,inf,274.8108440364026,inf
2,102,15.0,904.9036790187175,904.9036790187175,227.92323269030737,3.9702125506804435
2,103,inf,inf,inf,507.7716021992565,inf
2,104,inf,inf,inf,258.81460546112925,inf
2,105,inf,inf,inf,509.76268988618614,inf
2,106,inf,inf,inf,159.81239000778382,inf
2,107,inf,inf,inf,511.27781097951043,inf
2,108,inf,inf,inf,507.8936896634964,inf
2,109,inf,inf,inf,502.8956154113893,inf
2,110,6.0,444.4457428549489,444.4457428549489,101.21264743103995,4.391207562846993
2,111,inf,inf,inf,507.3943239729826,inf
3,4,inf,inf,inf,390.7863866615622,inf
3,5,inf,inf,inf,451.69237319219815,inf
3,6,inf,inf,inf,140.42791745233566,inf
3,7,inf,inf,inf,470.98195294512084,inf
3,8,inf,inf,inf,684.3865866599082,inf
3,9,inf,inf,inf,230.2628932329306,inf
3,10,inf,inf,inf,884.3822702881373,inf
3,11,inf,inf,inf,352.95325469529246,inf
3,12,inf,inf,inf,985.3024916237653,inf
3,13,inf,inf,inf,315.54555930958685,inf
3,14,inf,inf,inf,382.1740441212616,inf
3,15,inf,inf,inf,773.5302191899164,inf
3,16,inf,inf,inf,917.1194033494221,inf
3,17,inf,inf,inf,199.44422779313518,inf
3,18,inf,inf,inf,414.13524361010377,inf
3,19,inf,inf,inf,451.6325940407756,inf
3,20,inf,inf,inf,622.3391358415442,inf
3,21,inf,inf,inf,893.4080814499049,inf
3,22,inf,inf,inf,226.92730113408567,inf
3,23,inf,inf,inf,593.8728820210601,inf
3,24,inf,inf,inf,339.70575502926056,inf
3,25,inf,inf,inf,350.14282800023193,inf
3,26,inf,inf,inf,898.2438421720462,inf
3,27,inf,inf,inf,188.73261509341728,inf
3,28,inf,inf,inf,451.7742799230607,inf
3,29,inf,inf,inf,253.0,inf
3,30,inf,inf,inf,462.1558178796411,inf
3,31,inf,inf,inf,279.1146717748818,inf
3,32,inf,inf,inf,1015.6362537838042,inf
3,33,inf,inf,inf,403.49597271843993,inf
3,34,inf,inf,inf,868.0426256814811,inf
3,35,inf,inf,inf,888.9460051094217,inf
3,36,inf,inf,inf,488.8885353534075,inf
3,37,inf,inf,inf,830.0566245744925,inf
3,38,inf,inf,inf,312.1698255757593,inf
3,39,inf,inf,inf,520.0403830473168,inf
3,40,inf,inf,inf,654.9206058752466,inf
3,41,inf,inf,inf,832.0312494131456,inf
3,42,inf,inf,inf,170.76592165886026,inf
3,43,inf,inf,inf,438.0285378830927,inf
3,44,inf,inf,inf,648.475134450042,inf
3,45,inf,inf,inf,972.5183802890308,inf
3,46,inf,inf,inf,952.3738761641879,inf
3,47,inf,inf,inf,824.0024271808912,inf
3,48,inf,inf,inf,383.64827641995214,inf
3,49,inf,inf,inf,978.2704125138407,inf
3,50,inf,inf,inf,479.5101667326773,inf
3,51,inf,inf,inf,470.0521247691579,inf
3,52,inf,inf,inf,417.4805384685614,inf
3,53,inf,inf,inf,927.9967672357485,inf
3,54,inf,inf,inf,594.2558371610666,inf
3,55,inf,inf,inf,381.0406802429368,inf
3,56,inf,inf,inf,398.7342473377475,inf
3,57,inf,inf,inf,269.8462525216906,inf
3,58,inf,inf,inf,440.04772468449374,inf
3,59,inf,inf,inf,521.4757904255958,inf
3,60,inf,inf,inf,813.9410298049853,inf
3,61,inf,inf,inf,736.7991585228636,inf
3,62,inf,inf,inf,940.4786015641185,inf
3,63,inf,inf,inf,888.4705960244266,inf
3,64,inf,inf,inf,510.7220379032023,inf
3,65,inf,inf,inf,584.7503740913725,inf
3,66,inf,inf,inf,382.2800020927069,inf
3,67,inf,inf,inf,544.6062798022072,inf
3,68,inf,inf,inf,173.216627377397,inf
3,69,inf,inf,inf,577.9152186956146,inf
3,70,inf,inf,inf,817.5377667117282,inf
3,71,inf,inf,inf,1014.6531427044416,inf
3,72,inf,inf,inf,994.6763292649524,inf
